2009-02-09 11:41:09 status half-installed libbabl-dev 0.0.22
2009-02-09 11:41:09 status config-files libbabl-dev 0.0.22
2009-02-09 11:41:09 status config-files libbabl-dev 0.0.22
2009-02-09 11:41:09 status config-files libbabl-dev 0.0.22
2009-02-09 11:41:09 status not-installed libbabl-dev <none>
2009-02-09 12:05:43 startup archives install
2009-02-09 12:05:43 install libbabl <none> 0.0.22
2009-02-09 12:05:43 status half-installed libbabl 0.0.22
2009-02-09 12:05:43 status unpacked libbabl 0.0.22
2009-02-09 12:05:44 status unpacked libbabl 0.0.22
2009-02-09 12:05:44 configure libbabl 0.0.22 0.0.22
2009-02-09 12:05:44 status unpacked libbabl 0.0.22
2009-02-09 12:05:44 status half-configured libbabl 0.0.22
2009-02-09 12:05:44 status installed libbabl 0.0.22
2009-02-09 12:05:59 startup archives install
2009-02-09 12:05:59 install libgegl <none> 0.0.22
2009-02-09 12:05:59 status half-installed libgegl 0.0.22
2009-02-09 12:05:59 status unpacked libgegl 0.0.22
2009-02-09 12:05:59 status unpacked libgegl 0.0.22
2009-02-09 12:05:59 configure libgegl 0.0.22 0.0.22
2009-02-09 12:05:59 status unpacked libgegl 0.0.22
2009-02-09 12:05:59 status half-configured libgegl 0.0.22
2009-02-09 12:05:59 status installed libgegl 0.0.22
2009-02-09 12:06:18 startup archives install
2009-02-09 12:06:18 install gimp-painter <none> 2.6.4
2009-02-09 12:06:18 status half-installed gimp-painter 2.6.4
2009-02-09 12:06:19 status unpacked gimp-painter 2.6.4
2009-02-09 12:06:19 status unpacked gimp-painter 2.6.4
2009-02-09 12:06:32 startup packages remove
2009-02-09 12:06:36 startup packages remove
2009-02-09 12:06:36 status unpacked gimp-painter 2.6.4
2009-02-09 12:06:36 remove gimp-painter 2.6.4 2.6.4
2009-02-09 12:06:36 status half-installed gimp-painter 2.6.4
2009-02-09 12:06:37 status config-files gimp-painter 2.6.4
2009-02-09 12:06:37 status config-files gimp-painter 2.6.4
2009-02-09 12:06:37 status config-files gimp-painter 2.6.4
2009-02-09 12:06:37 status not-installed gimp-painter <none>
2009-02-09 12:06:55 startup archives unpack
2009-02-09 12:06:55 install libsdl-pango1 <none> 0.1.2-4
2009-02-09 12:06:55 status half-installed libsdl-pango1 0.1.2-4
2009-02-09 12:06:55 status unpacked libsdl-pango1 0.1.2-4
2009-02-09 12:06:55 status unpacked libsdl-pango1 0.1.2-4
2009-02-09 12:06:55 startup packages configure
2009-02-09 12:06:55 configure libsdl-pango1 0.1.2-4 0.1.2-4
2009-02-09 12:06:55 status unpacked libsdl-pango1 0.1.2-4
2009-02-09 12:06:55 status half-configured libsdl-pango1 0.1.2-4
2009-02-09 12:06:55 status installed libsdl-pango1 0.1.2-4
